날짜,시가,고가,저가,종가,거래량,등락률
2025-01-02,52700,53600,52300,53400,16630538,0.37593984962406013
2025-01-03,52800,55100,52800,54400,19318046,1.8726591760299627
2025-01-06,54400,56200,54300,55900,19034284,2.7573529411764706
2025-01-07,56800,57300,55400,55400,17030235,-0.8944543828264758
2025-01-08,54800,57500,54700,57300,26593553,3.429602888086643
2025-01-09,57600,57700,56100,56100,24490592,-2.094240837696335
2025-01-10,56100,56500,55200,55300,16059223,-1.4260249554367201
2025-01-13,54600,55000,54100,54100,16868600,-2.1699819168173597
2025-01-14,54200,54600,53700,53900,17465926,-0.36968576709796674
2025-01-15,54100,54700,53500,53700,18625025,-0.3710575139146568
2025-01-16,54200,55000,54100,54300,18627298,1.1173184357541899
2025-01-17,53800,54100,53200,53700,18805344,-1.1049723756906076
2025-01-20,53600,53900,53300,53400,11822531,-0.5586592178770949
2025-01-21,53700,54300,53300,53500,13535702,0.18726591760299627
2025-01-22,53400,54400,53100,54300,18341991,1.4953271028037385
2025-01-23,53700,54100,53500,53700,15588067,-1.1049723756906076
2025-01-24,53600,53800,53200,53700,11867631,0.0
2025-01-31,52200,53000,51700,52400,42186279,-2.4208566108007448
2025-02-03,51100,51400,50800,51000,32344897,-2.6717557251908395
2025-02-04,51600,53600,51500,52700,27214851,3.3333333333333335
2025-02-05,53600,53800,52800,52900,15974885,0.3795066413662239
2025-02-06,53400,54000,53200,54000,16466025,2.0793950850661624
2025-02-07,53900,54200,53600,53700,14476866,-0.5555555555555556
2025-02-10,53000,55900,52900,55600,27577591,3.5381750465549344
2025-02-11,55500,56300,55000,55700,24596196,0.1798561151079137
2025-02-12,55100,55900,54500,55800,26428596,0.17953321364452424
2025-02-13,56100,56400,55600,55800,22448377,0.0
2025-02-14,56000,57300,56000,56000,23979779,0.35842293906810035
2025-02-17,56100,56500,55700,56000,11916027,0.0
2025-02-18,56200,57200,55900,56900,22131007,1.607142857142857
2025-02-19,57400,58900,57300,58700,25395151,3.163444639718805
2025-02-20,59100,59100,58100,58400,21589059,-0.5110732538330494
2025-02-21,58400,58500,57100,58200,22198428,-0.3424657534246575
2025-02-24,57300,57700,57200,57300,14138471,-1.5463917525773196
2025-02-25,56600,57800,56500,57200,14625181,-0.17452006980802792
2025-02-26,57000,57100,56100,56600,18117091,-1.048951048951049
2025-02-27,56500,57100,56200,56300,14975356,-0.5300353356890459
2025-02-28,55400,55700,54500,54500,28036698,-3.197158081705151
2025-03-04,53900,55000,53800,54500,18553933,0.0
2025-03-05,55100,55400,54000,54000,16578817,-0.9174311926605505
2025-03-06,54100,54500,54000,54300,12258101,0.5555555555555556
2025-03-07,53500,54200,53400,53700,14274992,-1.1049723756906076
2025-03-10,53500,54800,53500,53700,12921670,0.0
